psa,offense,crime_count
101,THEFT/OTHER,491
101,THEFT F/AUTO,284
101,ROBBERY,34
101,MOTOR VEHICLE THEFT,23
101,ASSAULT W/DANGEROUS WEAPON,13
101,BURGLARY,13
101,SEX ABUSE,8
101,ARSON,0
101,HOMICIDE,0
102,THEFT/OTHER,306
102,THEFT F/AUTO,136
102,MOTOR VEHICLE THEFT,35
102,ASSAULT W/DANGEROUS WEAPON,27
102,ROBBERY,23
102,BURGLARY,7
102,SEX ABUSE,5
102,HOMICIDE,2
102,ARSON,0
103,THEFT F/AUTO,141
103,THEFT/OTHER,87
103,MOTOR VEHICLE THEFT,18
103,ROBBERY,8
103,ASSAULT W/DANGEROUS WEAPON,6
103,BURGLARY,6
103,SEX ABUSE,1
103,ARSON,0
103,HOMICIDE,0
104,THEFT/OTHER,393
104,THEFT F/AUTO,265
104,ROBBERY,40
104,MOTOR VEHICLE THEFT,38
104,BURGLARY,29
104,ASSAULT W/DANGEROUS WEAPON,22
104,HOMICIDE,3
104,SEX ABUSE,3
104,ARSON,0
105,THEFT/OTHER,225
105,THEFT F/AUTO,101
105,ASSAULT W/DANGEROUS WEAPON,28
105,ROBBERY,27
105,MOTOR VEHICLE THEFT,25
105,BURGLARY,5
105,SEX ABUSE,3
105,HOMICIDE,1
105,ARSON,0
106,THEFT/OTHER,595
106,THEFT F/AUTO,275
106,ROBBERY,42
106,MOTOR VEHICLE THEFT,41
106,BURGLARY,27
106,ASSAULT W/DANGEROUS WEAPON,17
106,SEX ABUSE,3
106,HOMICIDE,1
106,ARSON,0
107,THEFT/OTHER,331
107,THEFT F/AUTO,177
107,ROBBERY,39
107,MOTOR VEHICLE THEFT,33
107,ASSAULT W/DANGEROUS WEAPON,19
107,BURGLARY,15
107,SEX ABUSE,9
107,ARSON,0
107,HOMICIDE,0
108,THEFT/OTHER,167
108,THEFT F/AUTO,157
108,MOTOR VEHICLE THEFT,33
108,ROBBERY,29
108,BURGLARY,13
108,ASSAULT W/DANGEROUS WEAPON,8
108,SEX ABUSE,3
108,ARSON,1
108,HOMICIDE,1
201,THEFT F/AUTO,116
201,THEFT/OTHER,76
201,MOTOR VEHICLE THEFT,31
201,BURGLARY,10
201,ROBBERY,7
201,ASSAULT W/DANGEROUS WEAPON,3
201,SEX ABUSE,1
201,ARSON,0
201,HOMICIDE,0
202,THEFT/OTHER,294
202,THEFT F/AUTO,150
202,BURGLARY,35
202,MOTOR VEHICLE THEFT,18
202,ROBBERY,14
202,ASSAULT W/DANGEROUS WEAPON,4
202,ARSON,0
202,HOMICIDE,0
202,SEX ABUSE,0
203,THEFT/OTHER,165
203,THEFT F/AUTO,110
203,BURGLARY,15
203,MOTOR VEHICLE THEFT,10
203,ASSAULT W/DANGEROUS WEAPON,6
203,ROBBERY,6
203,ARSON,0
203,HOMICIDE,0
202,SEX ABUSE,0
204,THEFT/OTHER,246
204,THEFT F/AUTO,118
204,MOTOR VEHICLE THEFT,23
204,BURGLARY,20
204,ROBBERY,12
204,ASSAULT W/DANGEROUS WEAPON,9
204,SEX ABUSE,4
204,ARSON,0
204,HOMICIDE,0
205,THEFT F/AUTO,79
205,THEFT/OTHER,63
205,MOTOR VEHICLE THEFT,29
205,BURGLARY,19
205,ASSAULT W/DANGEROUS WEAPON,9
205,ROBBERY,8
205,SEX ABUSE,2
205,HOMICIDE,0
205,ARSON,0
206,THEFT/OTHER,714
206,THEFT F/AUTO,237
206,BURGLARY,38
206,MOTOR VEHICLE THEFT,38
206,ROBBERY,17
206,ASSAULT W/DANGEROUS WEAPON,16
206,SEX ABUSE,6
206,HOMICIDE,1
206,ARSON,0
207,THEFT/OTHER,714
207,THEFT F/AUTO,248
207,BURGLARY,49
207,ROBBERY,49
207,MOTOR VEHICLE THEFT,40
207,ASSAULT W/DANGEROUS WEAPON,35
207,SEX ABUSE,13
207,ARSON,0
207,HOMICIDE,0
208,THEFT/OTHER,496
208,THEFT F/AUTO,475
208,MOTOR VEHICLE THEFT,43
208,ROBBERY,41
208,BURGLARY,35
208,ASSAULT W/DANGEROUS WEAPON,33
208,SEX ABUSE,12
208,ARSON,0
208,HOMICIDE,0
209,THEFT/OTHER,495
209,THEFT F/AUTO,145
209,ROBBERY,21
209,MOTOR VEHICLE THEFT,17
209,BURGLARY,11
209,ASSAULT W/DANGEROUS WEAPON,7
209,SEX ABUSE,1
209,ARSON,0
209,HOMICIDE,0
301,THEFT/OTHER,245
301,THEFT F/AUTO,202
301,ROBBERY,34
301,MOTOR VEHICLE THEFT,31
301,BURGLARY,19
301,ASSAULT W/DANGEROUS WEAPON,18
301,SEX ABUSE,6
301,HOMICIDE,1
301,ARSON,0
302,THEFT/OTHER,592
302,THEFT F/AUTO,345
302,ROBBERY,52
302,MOTOR VEHICLE THEFT,46
302,BURGLARY,37
302,ASSAULT W/DANGEROUS WEAPON,36
302,SEX ABUSE,3
302,ARSON,0
302,HOMICIDE,0
303,THEFT/OTHER,282
303,THEFT F/AUTO,213
303,MOTOR VEHICLE THEFT,34
303,ROBBERY,32
303,ASSAULT W/DANGEROUS WEAPON,22
303,BURGLARY,19
303,SEX ABUSE,4
303,ARSON,0
